Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Ramli, N.S.F., Junit, S.M., Leong, N.K., Razali, N., Jayapalan, J.J., Aziz, A.A.","Analyses of antioxidant status and nucleotide alterations in genes encoding antioxidant enzymes in patients with benign and malignant thyroid disorders",2017,"PeerJ",2017,6, e3365,,,,1,10.7717/peerj.3365,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85020029458&partnerID=40&md5=2e69a57f4d53cf32e9c934427f9ebeff",Article,Scopus,2-s2.0-85020029458
"Pinheiro, F.L., Rodrigues, T.","Anhanguera taxonomy revisited: Is our understanding of Santana Group pterosaur diversity biased by poor biological and stratigraphic control?",2017,"PeerJ",2017,5, 3285,,,,1,10.7717/peerj.3285,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85018244631&partnerID=40&md5=07e708ab6181e048e4114d42dac785a6",Article,Scopus,2-s2.0-85018244631
"Reddy, M.N., Dungdung, R., Valliyott, L., Pilankatta, R.","Occurrence of concurrent infections with multiple serotypes of dengue viruses during 2013-2015 in northern Kerala, India",2017,"PeerJ",2017,3, e2970,,,,2,10.7717/peerj.2970,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85015169213&partnerID=40&md5=197a25cd30267a168b0ce7ef38654d57",Article,Scopus,2-s2.0-85015169213
"Kumar, Y.K., Mehta, S.B., Ramachandra, M.","Computer simulation of Cerebral Arteriovenous Malformation-validation analysis of hemodynamics parameters",2017,"PeerJ",2017,1, e2724,,,,1,10.7717/peerj.2724,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85011265989&partnerID=40&md5=ca00fde6669b9bea12d472db6f8fc6b2",Article,Scopus,2-s2.0-85011265989
"Leray, M., Knowlton, N.","Random sampling causes the low reproducibility of rare eukaryotic OTUs in Illumina COI metabarcoding",2017,"PeerJ",2017,3, e3006,,,,1,10.7717/peerj.3006,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85016040617&partnerID=40&md5=05be525e8b0d02bb3c682da67d1ad0d1",Article,Scopus,2-s2.0-85016040617
"Brazelton, W.J., Thornton, C.N., Hyer, A., Twing, K.I., Longino, A.A., Lang, S.Q., Lilley, M.D., Früh-Green, G.L., Schrenk, M.O.","Metagenomic identification of active methanogens and methanotrophs in serpentinite springs of the Voltri Massif, Italy",2017,"PeerJ",2017,1, e2945,,,,1,10.7717/peerj.2945,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85013195001&partnerID=40&md5=35f0c42a65f8fc0e45da752a548d0770",Article,Scopus,2-s2.0-85013195001
"Gutiérrez, E.G., Canchola, G.H., León Paniagua, L.S., Méndez, N.M., Ortega, J.","Isolation and characterization of microsatellite markers for Sturnira parvidens and cross-species amplification in Sturnira species",2017,"PeerJ",2017,5, 3367,,,,,10.7717/peerj.3367,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85019926592&partnerID=40&md5=09b16cc8266624c97832f80b85cfb3c4",Article,Scopus,2-s2.0-85019926592
"Bölte, J., Hösker, T.M., Hirschfeld, G., Thielsch, M.T.","Electrophysiological correlates of aesthetic processing of webpages: A comparison of experts and laypersons",2017,"PeerJ",2017,6, e3440,,,,,10.7717/peerj.3440,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85020222544&partnerID=40&md5=9b993e806da6f45d73ccc483b70e295d",Article,Scopus,2-s2.0-85020222544
"Spurnić, A.R., Brmbolić, B., Stojšić, Z., Pekmezović, T., Bukumirić, Z., Korać, M., Salemoví, D., Pešić-Pavloví, I., Stevanoví, G., Miloševí, I., Jevtoví, D.","The increasing prevalence of HIV/Helicobacter pylori co-infection over time, along with the evolution of antiretroviral therapy (ART)",2017,"PeerJ",2017,5, e3392,,,,,10.7717/peerj.3392,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85019686288&partnerID=40&md5=e80b32a698f8ac2333009c7707dc9a5e",Article,Scopus,2-s2.0-85019686288
"LaZerte, S.E., Slabbekoorn, H., Otter, K.A.","Territorial black-capped chickadee males respond faster to high- than to low-frequency songs in experimentally elevated noise conditions",2017,"PeerJ",2017,4, e3257,,,,,10.7717/peerj.3257,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85018179728&partnerID=40&md5=e3968afda539723de724e8348fbdbdab",Article,Scopus,2-s2.0-85018179728
"Zhu, Y., Liu, H.-Y., Yang, H.-Q., Li, Y.-D., Zhang, H.-M.","Factors affecting genotyping success in giant panda fecal samples",2017,"PeerJ",2017,5, e3358,,,,,10.7717/peerj.3358,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85019885003&partnerID=40&md5=1f75be2f25290369da9ea480cbf9cc7c",Article,Scopus,2-s2.0-85019885003
"Kapatai, G., Coelho, J., Platt, S., Chalker, V.J.","Whole genome sequencing of group A Streptococcus: Development and evaluation of an automated pipeline for emm gene typing",2017,"PeerJ",2017,4, e3226,,,,,10.7717/peerj.3226,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85018190091&partnerID=40&md5=592af6d2c52a17ccee2da677428efa82",Article,Scopus,2-s2.0-85018190091
"Mageroy, M.H., Lachance, D., Jancsik, S., Parent, G., Séguin, A., Mackay, J., Bohlmann, J.","In vivo function of Pgβglu-1 in the release of acetophenones in white spruce",2017,"PeerJ",2017,7, e3535,,,,,10.7717/peerj.3535,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85021855214&partnerID=40&md5=462fc3c08a9ef48c2e317860a12a4fac",Article,Scopus,2-s2.0-85021855214
"Botella-Cruz, M., Villastrigo, A., Pallarés, S., López-Gallego, E., Millán, A., Velasco, J.","Cuticle hydrocarbons in saline aquatic beetles",2017,"PeerJ",2017,7, e3562,,,,,10.7717/peerj.3562,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85023763003&partnerID=40&md5=c63cdc2c84068dd2f7dd4196a664b471",Article,Scopus,2-s2.0-85023763003
"Ji, J., Zheng, L., Yue, J., Yao, X., Chang, E., Xie, T., Deng, N., Chen, L., Huang, Y., Jiang, Z., Shi, S.","Identification of two CiGADs from Caragana intermedia and their transcriptional responses to abiotic stresses and exogenous abscisic acid",2017,"PeerJ",2017,6, 3439,,,,,10.7717/peerj.3439,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85020774426&partnerID=40&md5=47949e82d635219fccdb12536d9cfaa8",Article,Scopus,2-s2.0-85020774426
"Dai, J., Sun, Y., Yan, L., Wang, J., Li, X., He, J.","Upregulation of NOXA by 10-Hydroxycamptothecin plays a key role in inducing fibroblasts apoptosis and reducing epidural fibrosis",2017,"PeerJ",2017,1, e2858,,,,,10.7717/peerj.2858,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85011300243&partnerID=40&md5=c83c6aaf1b6117ca1980892734a659fa",Article,Scopus,2-s2.0-85011300243
"Ayieko, C., Ogola, B.S., Ochola, L., Ngwena, G.A.M., Ayodo, G., Hodges, J.S., Noland, G.S., John, C.C.","Interferon- γ responses to Plasmodium falciparum vaccine candidate antigens decrease in the absence of malaria transmission",2017,"PeerJ",2017,1, e2855,,,,,10.7717/peerj.2855,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85011256463&partnerID=40&md5=ecea781364396260bd6a43285a52021c",Article,Scopus,2-s2.0-85011256463
"Henry, B.M., Sanna, S., Graves, M.J., Vikse, J., Sanna, B., Tomaszewska, I.M., Tubbs, R.S., Walocha, J.A., Tomaszewski, K.A.","The Non-Recurrent Laryngeal Nerve: A meta-analysis and clinical considerations",2017,"PeerJ",2017,3, e3012,,,,,10.7717/peerj.3012,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85015914871&partnerID=40&md5=43d384fe3b05fdfb4cd567089413b766",Article,Scopus,2-s2.0-85015914871
"Liang, S.-H., Walther, B.A., Shieh, B.-S.","Contrasting determinants for the introduction and establishment success of exotic birds in Taiwan using decision trees models",2017,"PeerJ",2017,3, e3092,,,,,10.7717/peerj.3092,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85015153384&partnerID=40&md5=8aab5d7c2c3fcea5cf886efa2bc5d898",Article,Scopus,2-s2.0-85015153384
"Nanami, A., Sato, T., Kawabata, Y., Okuyama, J.","Spawning aggregation of white-streaked grouper Epinephelus ongus: Spatial distribution and annual variation in the fish density within a spawning ground",2017,"PeerJ",2017,2, e3000,,,,,10.7717/peerj.3000,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85013188353&partnerID=40&md5=3d8648123e59e16d0842786ac0e6cbf5",Article,Scopus,2-s2.0-85013188353
"Guo, H., Zheng, H., Wu, J., Ma, H.-p., Yu, J., Yiliyaer, M.","The key role of microtubules in hypoxia preconditioning-induced nuclear translocation of HIF-1α in rat cardiomyocytes",2017,"PeerJ",2017,8, 3662,,,,,10.7717/peerj.3662,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85027328530&partnerID=40&md5=9fff4759a084ecf1f83deadbd2f7e343",Article,Scopus,2-s2.0-85027328530
"Warren, D.T., Donelson, J.M., McCormick, M.I.","Extended exposure to elevated temperature affects escape response behaviour in coral reef fishes",2017,"PeerJ",2017,8, e3652,,,,,10.7717/peerj.3652,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85027708601&partnerID=40&md5=565ad8b904516936c5f0ebd73c999be8",Article,Scopus,2-s2.0-85027708601
"Tanada, Y., Okuda, J., Kato, T., Minamino-Muta, E., Murata, I., Soga, T., Shioi, T., Kimura, T.","The metabolic profile of a rat model of chronic kidney disease",2017,"PeerJ",2017,5, 3352,,,,,10.7717/peerj.3352,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85019918883&partnerID=40&md5=6bd85fa68f900904dfc738421bf791f5",Article,Scopus,2-s2.0-85019918883
"Zheng, Y., Liu, L., Chen, C., Ming, P., Huang, Q., Li, C., Cao, D., Xu, X., Ge, W.","The extracellular vesicles secreted by lung cancer cells in radiation therapy promote endothelial cell angiogenesis by transferring miR-23a",2017,"PeerJ",2017,8, e3627,,,,,10.7717/peerj.3627,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85028362507&partnerID=40&md5=3608f2e75ce558334f30c5fa6886a99f",Article,Scopus,2-s2.0-85028362507
"Oliveira, T.A., Idalencio, R., Kalichak, F., dos Santos Rosa, J.G., Koakoski, G., de Abreu, M.S., Giacomini, A.C.V., Gusso, D., Rosemberg, D.B., Barreto, R.E., Barcellos, L.J.G.","Stress responses to conspecific visual cues of predation risk in zebrafish",2017,"PeerJ",2017,9, 3739,,,,,10.7717/peerj.3739,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85028925567&partnerID=40&md5=536ee5afe28319b5b76e0058b091e56b",Article,Scopus,2-s2.0-85028925567
"Dugas, L.R., Kliethermes, S., Plange-Rhule, J., Tong, L., Bovet, P., Forrester, T.E., Lambert, E.V., Schoeller, D.A., Durazo-Arvizu, R.A., Shoham, D.A., Cao, G., Brage, S., Ekelund, U., Cooper, R.S., Luke, A.","Accelerometer-measured physical activity is not associated with two-year weight change in African-origin adults from five diverse populations",2017,"PeerJ",2017,1, e2902,,,,,10.7717/peerj.2902,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85011277169&partnerID=40&md5=03198fe965d949ffd9911b8ef885b9c7",Article,Scopus,2-s2.0-85011277169
"Jelocnik, M., Islam, M., Madden, D., Jenkins, C., Branley, J., Carver, S., Polkinghorne, A.","Development and evaluation of rapid novel isothermal amplification assays for important veterinary pathogens: Chlamydia psittaci and Chlamydia pecorum",2017,"PeerJ",2017,9, 3799,,,,,10.7717/peerj.3799,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85029028083&partnerID=40&md5=c32c99c2ed9b4d82417b1d2663377868",Article,Scopus,2-s2.0-85029028083
"Loke, K.-K., Rahnamaie-Tajadod, R., Yeoh, C.-C., Goh, H.-H., Mohamed-Hussein, Z.-A., Zainal, Z., Ismail, I., Noor, N.M.","Transcriptome analysis of Polygonum minus reveals candidate genes involved in important secondary metabolic pathways of phenylpropanoids and flavonoids",2017,"PeerJ",2017,2, e2938,,,,,10.7717/peerj.2938,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85014122855&partnerID=40&md5=331174a1218c3e1377859e30b9ea90c2",Article,Scopus,2-s2.0-85014122855
"Sasso, C.D., Pasini, G., Fleury, G., Maganuco, S.","Razanandrongobe sakalavae, a gigantic mesoeucrocodylian from the Middle Jurassic of Madagascar, is the oldest known notosuchian",2017,"PeerJ",2017,7, e3481,,,,,10.7717/peerj.3481,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85021769145&partnerID=40&md5=f795d817f580b624d9c52b918dcb6d99",Article,Scopus,2-s2.0-85021769145
"Govindarajan, A.F., Carman, M.R., Khaidarov, M.R., Semenchenko, A., Wares, J.P.","Mitochondrial diversity in Gonionemus (Trachylina: Hydrozoa) and its implications for understanding the origins of clinging jellyfish in the Northwest Atlantic Ocean",2017,"PeerJ",2017,4, e3205,,,,,10.7717/peerj.3205,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85017611697&partnerID=40&md5=d08caf57f5c2d568f81f4490f2818148",Article,Scopus,2-s2.0-85017611697
"Haug, C., Haug, J.T.","The presumed oldest flying insect: More likely a myriapod?",2017,"PeerJ",2017,5, e3402,,,,,10.7717/peerj.3402,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85019692354&partnerID=40&md5=4560cb3925ef3457c63e7fdf7a060b21",Article,Scopus,2-s2.0-85019692354
"Brown, T., Otero, C., Grajales, A., Rodriguez, E., Rodriguez-Lanetty, M.","Worldwide exploration of the microbiome harbored by the cnidarian model, Exaiptasia pallida (Agassiz in Verrill, 1864) indicates a lack of bacterial association specificity at a lower taxonomic rank",2017,"PeerJ",2017,5, e3235,,,,,10.7717/peerj.3235,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85019204850&partnerID=40&md5=0e82092098fce7ae1deaf0cf880d8d07",Article,Scopus,2-s2.0-85019204850
"Timme, R.E., Rand, H., Shumway, M., Trees, E.K., Simmons, M., Agarwala, R., Davis, S., Tillman, G.E., Defibaugh-Chavez, S., Carleton, H.A., Klimke, W.A., Katz, L.S.","Benchmark datasets for phylogenomic pipeline validation, applications for foodborne pathogen surveillance",2017,"PeerJ",2017,10, e3893,,,,,10.7717/peerj.3893,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85030703368&partnerID=40&md5=7ea15aae12a0f5783f9a0b24f3904cc7",Article,Scopus,2-s2.0-85030703368
"Zhong, F., Hou, M., He, B., Chen, I.","Assessment on the coupling effects of drip irrigation and organic fertilization based on entropy weight coefficient model",2017,"PeerJ",2017,10, e3855,,,,,10.7717/peerj.3855,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85030528684&partnerID=40&md5=e17fba72c3a98b0d678932161cf4b9f4",Article,Scopus,2-s2.0-85030528684
"Hart, J.E., Clarke, I.J., Risbridger, G.P., Ferneyhough, B., Vega-Hernández, M.","Mysterious inhibitory cell regulator investigated and found likely to be secretogranin II related",2017,"PeerJ",2017,10, e3833,,,,,10.7717/peerj.3833,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85031119909&partnerID=40&md5=d5e01ddf839df011c34924d5de290ac8",Article,Scopus,2-s2.0-85031119909
"O'Reilly-Shah, V.N.","Factors influencing healthcare provider respondent fatigue answering a globally administered in-app survey",2017,"PeerJ",2017,9, 3785,,,,1,10.7717/peerj.3785,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85027492426&partnerID=40&md5=10ebb31051234b8d5cce440dcc0cabf0",Article,Scopus,2-s2.0-85027492426
"Nogueira, L.S., Bianchini, A., Smith, S., Jorge, M.B., Diamond, R.L., Wood, C.M.","Physiological effects of five different marine natural organic matters (NOMs) and three different metals (cu, Pb, Zn) on early life stages of the blue mussel (Mytilus galloprovincialis)",2017,"PeerJ",2017,4, 3141,,,,,10.7717/peerj.3141,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85017399060&partnerID=40&md5=b337d5ec7dc16fdf12e95e6d0ab1486e",Article,Scopus,2-s2.0-85017399060
"Dubé, C.E., Planes, S., Zhou, Y., Berteaux-Lecellier, V., Boissin, E.","Genetic diversity and differentiation in reef-Building millepora species, as revealed by cross-Species amplification of fifteen novel microsatellite loci",2017,"PeerJ",2017,2, 2936,,,,3,10.7717/peerj.2936,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85013781375&partnerID=40&md5=50cbea9624a4b7b820e6cda803bbab13",Article,Scopus,2-s2.0-85013781375
"Metge, F., Czaja-Hasse, L.F., Reinhardt, R., Dieterich, C.","FUCHS-towards full circular RNA characterization using RNAseq",2017,"PeerJ",2017,2, 2934,,,,1,10.7717/peerj.2934,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85014104295&partnerID=40&md5=7110f4c36b773fd58554daf7a8e23d10",Article,Scopus,2-s2.0-85014104295
"Nielsen, S., Walburn, J.W., Vergés, A., Thomas, T., Egan, S.","Microbiome patterns across the gastrointestinal tract of the rabbitfish Siganus fuscescens",2017,"PeerJ",2017,5, e3317,,,,,10.7717/peerj.3317,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85019460173&partnerID=40&md5=47f1198bdcca53404f69b45aab515b72",Article,Scopus,2-s2.0-85019460173
"Li, X., Zhu, L., Meng, L., Li, B.","Brood size and sex ratio in response to host quality and wasp traits in the gregarious parasitoid Oomyzus sokolowskii (Hymenoptera: Eulophidae)",2017,"PeerJ",2017,1, e2919,,,,1,10.7717/peerj.2919,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85013200657&partnerID=40&md5=d135ad4d5de35a891f9308753fe55b29",Article,Scopus,2-s2.0-85013200657
"Garcia, D., Sagone, E., De Caroli, M.E., Al Nima, A.","Italian and Swedish adolescents: Differences and associations in subjective well-being and psychological well-being",2017,"PeerJ",2017,1, e2868,,,,1,10.7717/peerj.2868,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85011286222&partnerID=40&md5=452100df69838fa1283338e646830767",Article,Scopus,2-s2.0-85011286222
"Frigerio, D., Ludwig, S.C., Hemetsberger, J., Kotrschal, K., Wascher, C.A.F.","Social and environmental factors modulate leucocyte profiles in free-living Greylag geese (Anser anser)",2017,"PeerJ",2017,1, e2792,,,,1,10.7717/peerj.2792,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85008950107&partnerID=40&md5=c715354416fa21972a0ae735635d63fe",Article,Scopus,2-s2.0-85008950107
"Chen, J., Wrightsman, T.R., Wessler, S.R., Stajich, J.E.","RelocaTE2: A high resolution transposable element insertion site mapping tool for population resequencing",2017,"PeerJ",2017,1, e2942,,,,2,10.7717/peerj.2942,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85013188443&partnerID=40&md5=7b23c2dd97a7e2170f1d7350c7ebce87",Article,Scopus,2-s2.0-85013188443
"Okada, K., Fujimura, T., Kikuchi, T., Aino, M., Kamiya, Y., Izawa, A., Iwamura, Y., Goto, H., Okabe, I., Miyake, E., Hasegawa, Y., Mogi, M., Mitani, A.","Effect of interleukin (IL)-35 on IL-17 expression and production by human CD4<sup>+</sup> T cells",2017,"PeerJ",2017,2, e2999,,,,1,10.7717/peerj.2999,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85013157722&partnerID=40&md5=4f1647781eaeaa0f3317e101b40a84ef",Article,Scopus,2-s2.0-85013157722
"Wu, J., Yu, J., Xie, P., Maimaitili, Y., Wang, J., Yang, L., Ma, H., Zhang, X., Yang, Y., Zheng, H.","Sevoflurane postconditioning protects the myocardium against ischemia/reperfusion injury via activation of the JAK2-STAT3 pathway",2017,"PeerJ",2017,4, e3196,,,,4,10.7717/peerj.3196,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85017027635&partnerID=40&md5=40c8ad1b710001d23de9449d00269dcf",Article,Scopus,2-s2.0-85017027635
"Rhyne, A.L., Tlusty, M.F., Szczebak, J.T., Holmberg, R.J.","Expanding our understanding of the trade in marine aquarium animals",2017,"PeerJ",2017,1, e2949,,,,2,10.7717/peerj.2949,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85013151836&partnerID=40&md5=a33814b915108ce5862cd96366c1cbd8",Article,Scopus,2-s2.0-85013151836
"Moller, A.G., Liang, C.","Determining virus-host interactions and glycerol metabolism profiles in geographically diverse solar salterns with metagenomics",2017,"PeerJ",2017,1, e2844,,,,1,10.7717/peerj.2844,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85013220507&partnerID=40&md5=895299accb87a83bd1bc766db84a708b",Article,Scopus,2-s2.0-85013220507
"Kubicka, A.M., Rosin, Z.M., Tryjanowski, P., Nelson, E.","A systematic review of animal predation creating pierced shells: Implications for the archaeological record of the Old World",2017,"PeerJ",2017,1, e2903,,,,1,10.7717/peerj.2903,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85013170977&partnerID=40&md5=9f66020bd536eae2c0aefdbe1a35dc99",Article,Scopus,2-s2.0-85013170977
"Ko, C.-Y., Chang, Y., Jeong, B., Kang, S., Ryu, J., Kim, G.","Effects of knee sleeves on coordination of lower-limb segments in healthy adults during level walking and one-leg hopping",2017,"PeerJ",2017,5, e3340,,,,,10.7717/peerj.3340,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85019891440&partnerID=40&md5=5a9ece92cf955dc01051efa880154b45",Article,Scopus,2-s2.0-85019891440
"Biddle, L., Goodman, A.M., Deeming, D.C.","Construction patterns of birds' nests provide insight into nest-building behaviours",2017,"PeerJ",2017,2, 3010,,,,,10.7717/peerj.3010,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85013993560&partnerID=40&md5=16bf44d631fd3228f0ba51660398bdb1",Article,Scopus,2-s2.0-85013993560
"Roach, T.N.F., Abieri, M.L., George, E.E., Knowles, B., Naliboff, D.S., Smurthwaite, C.A., Kelly, L.W., Haas, A.F., Rohwer, F.L.","Microbial bioenergetics of coral-algal interactions",2017,"PeerJ",2017,6, e3423,,,,,10.7717/peerj.3423,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85021093020&partnerID=40&md5=00a427184a25b17ea3bea92dc8c674f3",Article,Scopus,2-s2.0-85021093020
"Li, C., Zhao, Z., Liu, Y., Liang, B., Guan, S., Lan, H., Wang, J., Lu, Y., Cao, M.","Comparative transcriptome analysis of isonuclear-alloplasmic lines unmask key transcription factor genes and metabolic pathways involved in sterility of maize CMS-C",2017,"PeerJ",2017,5, e3408,,,,,10.7717/peerj.3408,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85019713989&partnerID=40&md5=8728fad08536eabefe3005130d378949",Article,Scopus,2-s2.0-85019713989
"Zhang, Y., Brackman, G., Coenye, T.","Pitfalls associated with evaluating enzymatic quorum quenching activity: The case of MomL and its effect on Pseudomonas aeruginosa and Acinetobacter baumannii biofilms",2017,"PeerJ",2017,4, e3251,,,,,10.7717/peerj.3251,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85018160589&partnerID=40&md5=779766bf5ff71db6bc8c321c94a6825e",Article,Scopus,2-s2.0-85018160589
"Carvalho, C.A.M., Silva, J.L., Oliveira, A.C., Gomes, A.M.O.","On the entry of an emerging arbovirus into host cells: Mayaro virus takes the highway to the cytoplasm through fusion with early endosomes and caveolae- derived vesicles",2017,"PeerJ",2017,4, e3245,,,,,10.7717/peerj.3245,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85018324121&partnerID=40&md5=61a7ba753872ea2004e7f02adeb27a63",Article,Scopus,2-s2.0-85018324121
"Salica, M.J., Vonesh, J.R., Warkentin, K.M.","Egg clutch dehydration induces early hatching in red-eyed treefrogs, Agalychnis callidryas",2017,"PeerJ",2017,7, e3549,,,,,10.7717/peerj.3549,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85023747670&partnerID=40&md5=0120ac6738d3d2f6a0d81a14a12cdd7d",Article,Scopus,2-s2.0-85023747670
"Mavrodiev, E.V., Dell, C., Schroder, L.","A laid-back trip through the Hennigian forests",2017,"PeerJ",2017,7, 3578,,,,,10.7717/peerj.3578,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85025125614&partnerID=40&md5=6353df8e01f389cc3eb061f235d01970",Article,Scopus,2-s2.0-85025125614
"Cortés-Castell, E., Juste, M., Palazón-Bru, A., Monge, L., Sánchez-Ferrer, F., Rizo-Baeza, M.M.","A simple equation to estimate body fat percentage in children with overweightness or obesity: A retrospective study",2017,"PeerJ",2017,4, e3238,,,,,10.7717/peerj.3238,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85018175379&partnerID=40&md5=abbff447b0ef74399992a13c7506ee4a",Article,Scopus,2-s2.0-85018175379
"Peeters, C., Foldi, I., Matile-Ferrero, D., Fisher, B.L.","A mutualism without honeydew: What benefits for Melissotarsus emeryi ants and armored scale insects (Diaspididae)?",2017,"PeerJ",2017,7, e3599,,,,,10.7717/peerj.3599,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85025636982&partnerID=40&md5=7619fdaaabeb79d595f9fb57285bfff7",Article,Scopus,2-s2.0-85025636982
"Hämäläinen, L., Rowland, H.M., Mappes, J., Thorogood, R.","Can video playback provide social information for foraging blue tits?",2017,"PeerJ",2017,3, 3062,,,,,10.7717/peerj.3062,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85015974138&partnerID=40&md5=08c8b5c9ebeec975a247d226a25f865c",Article,Scopus,2-s2.0-85015974138
"Guitián, J.A., Sobral, M., Veiga, T., Losada, M., Guitián, P., Guitián, J.M.","Differences in pollination success between local and foreign flower color phenotypes: A translocation experiment with Gentiana lutea (Gentianaceae)",2017,"PeerJ",2017,2, e2882,,,,,10.7717/peerj.2882,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85013219948&partnerID=40&md5=b66bb92db1278381badb1714cb419d4d",Article,Scopus,2-s2.0-85013219948
"Cheung, T.T., Weston, M.K., Wilson, M.J.","Selection and evaluation of reference genes for analysis of mouse (Mus musculus) sex-dimorphic brain development",2017,"PeerJ",2017,1, e2909,,,,,10.7717/peerj.2909,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85013149631&partnerID=40&md5=67eea26ed29c3221e97de78e5721a645",Article,Scopus,2-s2.0-85013149631
"Johannesen, J., Fabritzek, A.G., Ebner, B., Bikar, S.-E.","Characterisation of microsatellite and SNP markers from Miseq and genotyping-by-sequencing data among parapatric Urophora cardui (Tephritidae) populations",2017,"PeerJ",2017,8, 3582,,,,,10.7717/peerj.3582,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85027366878&partnerID=40&md5=510fb8d84bfa10c0baa7df5bf55286b4",Article,Scopus,2-s2.0-85027366878
"Bonesso, J.L., Leggat, W., Ainsworth, T.D.","Exposure to elevated sea-surface temperatures below the bleaching threshold impairs coral recovery and regeneration following injury",2017,"PeerJ",2017,8, e3719,,,,,10.7717/peerj.3719,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85027581210&partnerID=40&md5=23ca12ce0db443e71484ba02c66430ed",Article,Scopus,2-s2.0-85027581210
"Xiao, M., Huang, Z., Cai, J., Jia, J., Zhang, Y., Dong, W., Wang, Z.","Comparison of different sample preparation methods for platinum determination in cultured cells by graphite furnace atomic absorption spectrometry",2017,"PeerJ",2017,1, e2873,,,,,10.7717/peerj.2873,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85011263201&partnerID=40&md5=dc3fa5a266ea6b72e8c437a5234073c4",Article,Scopus,2-s2.0-85011263201
"Ibáñez, A., Menke, M., Quezada, G., Jiménez-Uzcátegui, G.J., Schulz, S., Steinfartz, S.","Diversity of compounds in femoral secretions of Galápagos iguanas (genera: Amblyrhynchus and Conolophus), and their potential role in sexual communication in lek-mating marine iguanas (Amblyrhynchus cristatus)",2017,"PeerJ",2017,8, 3689,,,,,10.7717/peerj.3689,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85027532989&partnerID=40&md5=69f99fd87b87cba936f69f85dea59171",Article,Scopus,2-s2.0-85027532989
