Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Zahari, Z., Lee, C.S., Tan, S.C., Mohamad, N., Lee, Y.Y., Ismail, R.","Relationship between cold pressor pain-sensitivity and sleep quality in opioid-dependent males on methadone treatment",2015,"PeerJ",2015,4, e839,,,,7,10.7717/peerj.839,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84926443165&partnerID=40&md5=03b8b01b2a12241165af8d6baccb5dd7",Article,Scopus,2-s2.0-84926443165
"Chenchouni, H., Menasria, T., Neffar, S., Chafaa, S., Bradai, L., Chaibi, R., Mekahlia, M.N., Bendjoudi, D., Bachir, A.S.","Spatiotemporal diversity, structure and trophic guilds of insect assemblages in a semi-arid Sabkha ecosystem",2015,"PeerJ",2015,3, e860,,,,3,10.7717/peerj.860,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84926472636&partnerID=40&md5=ad2b34246a8b3cc6b7dd6d83da2dc9e6",Article,Scopus,2-s2.0-84926472636
"Machado, A., Castro, J., Cereija, T., Almeida, C., Cerca, N.","Diagnosis of bacterial vaginosis by a new multiplex peptide nucleic acid fluorescence in situ hybridization method",2015,"PeerJ",2015,2, e780,,,,8,10.7717/peerj.780,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84926453746&partnerID=40&md5=ecc4f8418d1b623e0beb28058883ec44",Article,Scopus,2-s2.0-84926453746
"Andersen, J.R., Hernæs, U.J.V., Hufthammer, K.O., Våge, V.","Employment status and sick-leave following obesity surgery: A five-year prospective cohort study",2015,"PeerJ",2015,9, e1285,,,,2,10.7717/peerj.1285,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84944884628&partnerID=40&md5=2fd43cdcbffdf935e427b50f80f9b476",Article,Scopus,2-s2.0-84944884628
"Mammola, S., Isaia, M., Arnedo, M.A.","Alpine endemic spiders shed light on the origin and evolution of subterranean species",2015,"PeerJ",2015,11, e1384,,,,8,10.7717/peerj.1384,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84948952975&partnerID=40&md5=8b1ab7d3980c9754f254e4eb156300cd",Article,Scopus,2-s2.0-84948952975
"Kuzmar, I.E., Cortés-Castell, E., Rizo, M.","Effectiveness of telenutrition in a women's weight loss program",2015,"PeerJ",2015,2, e748,,,,1,10.7717/peerj.748,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84926500704&partnerID=40&md5=3c8adc6be8bf0d8922b89a15a8a453df",Article,Scopus,2-s2.0-84926500704
"Artigaud, S., Lacroix, C., Richard, J., Flye-Sainte-Marie, J., Bargelloni, L., Pichereau, V.","Proteomic responses to hypoxia at different temperatures in the great scallop (Pecten maximus)",2015,"PeerJ",2015,3, e871,,,,4,10.7717/peerj.871,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84926482096&partnerID=40&md5=f9835f249e2a9d33b6869a4e832db01f",Article,Scopus,2-s2.0-84926482096
"Maher, M.C., Hernandez, R.D.","CauseMap: Fast inference of causality fromcomplex time series",2015,"PeerJ",2015,3, e824,,,,2,10.7717/peerj.824,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84926500573&partnerID=40&md5=961f164202026515072b72bf282fc347",Article,Scopus,2-s2.0-84926500573
"Arnan, X., Cerdá, X., Retana, J.","Partitioning the impact of environment and spatial structure on alpha and beta components of taxonomic, functional, and phylogenetic diversity in European ants",2015,"PeerJ",2015,9, e1241,,,,1,10.7717/peerj.1241,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84944875400&partnerID=40&md5=6512a51865686fab419ac9c0c831b09c",Article,Scopus,2-s2.0-84944875400
"Meeds, E., Hendriks, R., Al Faraby, S., Bruntink, M., Welling, M.","MLitB: Machine learning in the browser",2015,"PeerJ",2015,1, e11,,,,3,10.7717/peerj-cs.11,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84987659184&partnerID=40&md5=e1368f8eeac03e14071e36d31723a833",Article,Scopus,2-s2.0-84987659184
"Franks, S.J., Perez-Sweeney, B., Strahl, M., Nowogrodzki, A., J.Weber, J., Lalchan, R., Jordan, K.P., Litt, A.","Variation in the flowering time orthologs BrFLC and BrSOC1 in a natural population of Brassica rapa",2015,"PeerJ",2015,11, e1339,,,,3,10.7717/peerj.1339,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84951055872&partnerID=40&md5=e8c8e171851283d0f5ae75c8425f240b",Article,Scopus,2-s2.0-84951055872
"Sepehri, A., Palaźon-Bru, A., Gil-Guilĺen, V.F., Raḿirez-Prado, D., Navarro-Cremades, F., Cortés, E., Rizo-Baeza, M.M.","Diabetes screening: A pending issue in hypertense/obese patients",2015,"PeerJ",2015,3, e914,,,,1,10.7717/peerj.914,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84982711476&partnerID=40&md5=a9a61267c61d0ccd46a8b375e6f3a07d",Article,Scopus,2-s2.0-84982711476
"Yorzinski, J.L., Chisholm, S., Byerley, S.D., Coy, J.R., Aziz, A., Wolf, J.A., Gnerlich, A.C.","Artificial light pollution increases nocturnal vigilance in peahens",2015,"PeerJ",2015,8, 1174,,,,10,10.7717/peerj.1174,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84940391071&partnerID=40&md5=9e0b82891718604e8938507273aac890",Article,Scopus,2-s2.0-84940391071
"Kang, D.D., Froula, J., Egan, R., Wang, Z.","MetaBAT, an efficient tool for accurately reconstructing single genomes from complex microbial communities",2015,"PeerJ",2015,8, 1165,,,,73,10.7717/peerj.1165,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84940387197&partnerID=40&md5=4226d3e4cc10366fa8496d6d59e33697",Article,Scopus,2-s2.0-84940387197
"Harrison, X.A.","A comparison of observation-level randomeffect and Beta-Binomial models for modelling overdispersion in Binomial data in ecology &amp; evolution",2015,"PeerJ",2015,7, 1114,,,,17,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84937886635&partnerID=40&md5=23d083b2180a7c46536a985d828cd5bf",Article,Scopus,2-s2.0-84937886635
"Ruete, A., Leynaud, G.C.","Identification of limiting climatic and geographical variables for the distribution of the tortoise Chelonoidis chilensis (Testudinidae): A baseline for conservation actions",2015,"PeerJ",2015,10, e1298,,,,2,10.7717/peerj.1298,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84945206973&partnerID=40&md5=a64c4348d18e8d8bafd0e0f685d43c3e",Article,Scopus,2-s2.0-84945206973
"Burns, J.H.R., Delparte, D., Gates, R.D., Takabayashi, M.","Integrating structure-from-motion photogrammetry with geospatial software as a novel technique for quantifying 3D ecological characteristics of coral reefs",2015,"PeerJ",2015,7, e1077,,,,22,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84937904569&partnerID=40&md5=8d403f7098beda325c68381784431fe5",Article,Scopus,2-s2.0-84937904569
"Sparks, C.","An examination of disparities in cancer incidence in Texas using Bayesian random coefficient models",2015,"PeerJ",2015,9, e1283,,,,,10.7717/peerj.1283,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84944727431&partnerID=40&md5=ed2584b03af3651bc382b831800f07e4",Article,Scopus,2-s2.0-84944727431
"Mlynarek, J.J.","Testing the enemy release hypothesis in a native insect species with an expanding range",2015,"PeerJ",2015,11, e1415,,,,,10.7717/peerj.1415,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84948950371&partnerID=40&md5=56acc4fe6ba3d6ab6420a17a41b5d5dc",Article,Scopus,2-s2.0-84948950371
"Kishida, T., Thewissen, J.G.M., Usip, S., Suydam, R.S., George, J.C.","Organization and distribution of glomeruli in the bowhead whale olfactory bulb",2015,"PeerJ",2015,3, e897,,,,,10.7717/peerj.897,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84982720870&partnerID=40&md5=7b9cc23e6abbe87b19f03483c2c08672",Article,Scopus,2-s2.0-84982720870
